# lat	lon	dist
31.418320	-115.062335	6.157237e+01
31.418320	-115.051691	6.125209e+01
31.418320	-115.041047	6.094676e+01
31.418320	-115.030402	6.065659e+01
31.427319	-115.615834	9.116207e+01
31.427319	-115.605190	9.047455e+01
31.427319	-115.594546	8.978221e+01
31.427319	-115.583902	8.909586e+01
31.427319	-115.573258	8.841562e+01
31.427319	-115.562613	8.774165e+01
31.427319	-115.551969	8.706790e+01
31.427319	-115.541325	8.637242e+01
31.427319	-115.530681	8.568312e+01
31.427319	-115.520036	8.500014e+01
31.427319	-115.509392	8.432364e+01
31.427319	-115.498748	8.365378e+01
31.427319	-115.488104	8.295575e+01
31.427319	-115.477460	8.226322e+01
31.427319	-115.466815	8.157722e+01
31.427319	-115.456171	8.089793e+01
31.427319	-115.445527	8.022552e+01
31.427319	-115.434883	7.955501e+01
31.427319	-115.424239	7.885900e+01
31.427319	-115.413594	7.816976e+01
31.427319	-115.402950	7.748746e+01
31.427319	-115.392306	7.681229e+01
31.427319	-115.381662	7.614444e+01
31.427319	-115.371017	7.548410e+01
31.427319	-115.360373	7.483148e+01
31.427319	-115.349729	7.418677e+01
31.427319	-115.339085	7.355019e+01
31.427319	-115.328441	7.292195e+01
31.427319	-115.317796	7.230226e+01
31.427319	-115.307152	7.169134e+01
31.427319	-115.296508	7.108943e+01
31.427319	-115.285864	7.049676e+01
31.427319	-115.275219	6.991355e+01
31.427319	-115.264575	6.934005e+01
31.427319	-115.253931	6.877650e+01
31.427319	-115.243287	6.822315e+01
31.427319	-115.232643	6.768024e+01
31.427319	-115.221998	6.714804e+01
31.427319	-115.211354	6.662679e+01
31.427319	-115.200710	6.611675e+01
31.427319	-115.190066	6.561820e+01
31.427319	-115.179421	6.513138e+01
31.427319	-115.168777	6.465657e+01
31.427319	-115.158133	6.419404e+01
31.427319	-115.147489	6.374404e+01
31.427319	-115.136845	6.330685e+01
31.427319	-115.126200	6.288274e+01
31.427319	-115.115556	6.247196e+01
31.427319	-115.104912	6.207479e+01
31.427319	-115.094268	6.169149e+01
31.427319	-115.083624	6.132232e+01
31.427319	-115.072979	6.096753e+01
31.427319	-115.062335	6.062738e+01
31.427319	-115.051691	6.030212e+01
31.427319	-115.041047	5.999198e+01
31.427319	-115.030402	5.969721e+01
31.427319	-115.019758	5.941803e+01
31.427319	-115.009114	5.915466e+01
31.427319	-114.998470	5.890731e+01
31.427319	-114.987826	5.867619e+01
31.436317	-115.647767	9.246396e+01
31.436317	-115.637123	9.177509e+01
