# lat	lon	dist
31.418320	-115.062335	4.984792e+01
31.418320	-115.051691	4.951989e+01
31.418320	-115.041047	4.921029e+01
31.418320	-115.030402	4.891947e+01
31.427319	-115.615834	8.136593e+01
31.427319	-115.605190	8.072912e+01
31.427319	-115.594546	8.008742e+01
31.427319	-115.583902	7.942361e+01
31.427319	-115.573258	7.875143e+01
31.427319	-115.562613	7.808644e+01
31.427319	-115.551969	7.742881e+01
31.427319	-115.541325	7.676518e+01
31.427319	-115.530681	7.609261e+01
31.427319	-115.520036	7.542749e+01
31.427319	-115.509392	7.476999e+01
31.427319	-115.498748	7.399165e+01
31.427319	-115.488104	7.320519e+01
31.427319	-115.477460	7.242418e+01
31.427319	-115.466815	7.164883e+01
31.427319	-115.456171	7.087930e+01
31.427319	-115.445527	7.011579e+01
31.427319	-115.434883	6.935850e+01
31.427319	-115.424239	6.860764e+01
31.427319	-115.413594	6.786342e+01
31.427319	-115.402950	6.712605e+01
31.427319	-115.392306	6.639577e+01
31.427319	-115.381662	6.567282e+01
31.427319	-115.371017	6.495744e+01
31.427319	-115.360373	6.424988e+01
31.427319	-115.349729	6.355040e+01
31.427319	-115.339085	6.285927e+01
31.427319	-115.328441	6.217678e+01
31.427319	-115.317796	6.150321e+01
31.427319	-115.307152	6.083885e+01
31.427319	-115.296508	6.018401e+01
31.427319	-115.285864	5.953900e+01
31.427319	-115.275219	5.890416e+01
31.427319	-115.264575	5.827980e+01
31.427319	-115.253931	5.766627e+01
31.427319	-115.243287	5.706393e+01
31.427319	-115.232643	5.647312e+01
31.427319	-115.221998	5.589421e+01
31.427319	-115.211354	5.532758e+01
31.427319	-115.200710	5.477361e+01
31.427319	-115.190066	5.423268e+01
31.427319	-115.179421	5.370519e+01
31.427319	-115.168777	5.319155e+01
31.427319	-115.158133	5.269215e+01
31.427319	-115.147489	5.220740e+01
31.427319	-115.136845	5.173771e+01
31.427319	-115.126200	5.128351e+01
31.427319	-115.115556	5.084520e+01
31.427319	-115.104912	5.042320e+01
31.427319	-115.094268	5.001792e+01
31.427319	-115.083624	4.962977e+01
31.427319	-115.072979	4.925915e+01
31.427319	-115.062335	4.890647e+01
31.427319	-115.051691	4.857212e+01
31.427319	-115.041047	4.825647e+01
31.427319	-115.030402	4.795990e+01
31.427319	-115.019758	4.768276e+01
31.427319	-115.009114	4.742539e+01
31.427319	-114.998470	4.718811e+01
31.427319	-114.987826	4.697124e+01
31.436317	-115.647767	8.256783e+01
31.436317	-115.637123	8.190333e+01
31.436317	-115.626479	8.124586e+01
31.436317	-115.615834	8.059560e+01
31.436317	-115.605190	7.995270e+01
31.436317	-115.594546	7.931737e+01
31.436317	-115.583902	7.867182e+01
31.436317	-115.573258	7.800511e+01
31.436317	-115.562613	7.733376e+01
31.436317	-115.551969	7.666974e+01
31.436317	-115.541325	7.601325e+01
31.436317	-115.530681	7.534662e+01
31.436317	-115.520036	7.467491e+01
31.436317	-115.509392	7.401080e+01
31.436317	-115.498748	7.335448e+01
31.436317	-115.488104	7.257921e+01
31.436317	-115.477460	7.179147e+01
31.436317	-115.466815	7.100928e+01
31.436317	-115.456171	7.023282e+01
31.436317	-115.445527	6.946228e+01
31.436317	-115.434883	6.869787e+01
31.436317	-115.424239	6.793978e+01
31.436317	-115.413594	6.718823e+01
31.436317	-115.402950	6.644344e+01
31.436317	-115.392306	6.570565e+01
31.436317	-115.381662	6.497509e+01
31.436317	-115.371017	6.425201e+01
31.436317	-115.360373	6.353666e+01
31.436317	-115.349729	6.282931e+01
31.436317	-115.339085	6.213024e+01
31.436317	-115.328441	6.143971e+01
